"id (S)","container (N)","format (S)","location (S)","title  (S)","type (S)","collection (S)","other (L)"
"7005897b-a1f9-45a9-97e4-72585a63d1b7","3","Blu-ray","2nd Floor","The Grinch (2018)","Movie",,
"7554969e-a2a2-464f-95e7-4ab7afa5fb89","3","Blu-ray","2nd Floor","The Hunger Games","Movie",,
"df4bef46-f13b-4225-8b30-a36a83bc7ebd","3","4K Blu-ray","2nd Floor","The Invisible Man (2020)","Movie",,
"a9c6e0a8-2dff-49ff-ba20-0112e8388708","3","Blu-ray","2nd Floor","The Jackal","Movie",,
"61dead64-be16-49a3-b81c-2def92665c7b","3","Blu-ray","2nd Floor","The League Of Extraordinary Gentlemen","Movie",,
"285f6667-1cfb-4fc7-b6cf-f2e3940c1a88","3","4K Blu-ray","2nd Floor","The Lion King (2019)","Movie",,
"ba409bd4-4969-458c-9cc9-cc15b1cad9d3","3","Blu-ray","2nd Floor","The Martian","Movie",,
"1a4a97f1-218b-4096-aeae-c24deb167122","3","Blu-ray","2nd Floor","The Nutty Professor Collection","Movie",,
"64c8e73a-0b03-4916-9404-e5260605a7f1","3","DVD","2nd Floor","The Pacifier","Movie",,
"71b077e1-de78-4bf9-bf25-94df28a4f235","3","4K Blu-ray","2nd Floor","The Secret Life Of Pets 2","Movie",,
"b22201d5-190b-46ec-9db7-8af6b531bd57","3","Blu-ray","2nd Floor","The Shield","TV Show",,
"b27d0887-5add-4689-9a96-caf0d5d0b703","3","Blu-ray","2nd Floor","The Strangers","Movie",,
"48142329-209d-4bed-88d2-e14d7e516df1","3","Blu-ray","2nd Floor","Thor The Dark World","Movie",,
"392a7a95-040c-4d53-96ca-4e53b4121ffa","3","Blu-ray","2nd Floor","Upgrade","Movie",,
"601a4058-7680-4591-81eb-60c44a591424","3","Blu-ray","2nd Floor","Valerian And The City Of A Thousand Planets","Movie",,
"cf4ab6c1-1a15-4946-8b71-c1ddfaaccdc7","3","Blu-ray","2nd Floor","Veronica Mars","Movie",,
"1fb73a51-9c90-43cf-89ea-4223f268c47e","3","Blu-ray","2nd Floor","Watchmen","Movie",,
"4cd91efa-3a7c-42b0-b908-97f738954576","3","Blu-ray","2nd Floor","White House Down","Movie",,
"5ff51478-f4bb-42c2-b3ea-ed5c3cf193f1","3","4K Blu-ray","2nd Floor","Wonder Woman Bloodlines","Movie",,
"fbeb072e-f57b-4496-a6a3-ca8d31e16cef","3","Blu-ray","2nd Floor","X-MEN","Movie","Yes","[  { ""S"" : ""X-MEN"" },  { ""S"" : ""X2 X-MEN United"" },  { ""S"" : ""X-MEN The Last Stand"" }]"
"fc809d74-2b95-4644-8437-0e82ddd52482","3","4K Blu-ray","2nd Floor","X-MEN Dark Phoenix","Movie",,
"48efd9d8-a920-420f-9fea-f2e44ea55d54","3","Blu-ray","2nd Floor","Zombieland","Movie",,
